,1,26387360698
1655,2,26387362353
1655,3,26387364008
1655,4,26387365663
1655,5,26387367318
1656,6,26387368974
1655,7,26387370629
1655,8,26387372284
1656,9,26387373940
1655,10,26387375595
1655,11,26387377250
1655,12,26387378905
1656,13,26387380561
1655,14,26387382216
1655,15,26387383871
1656,16,26387385527
1655,17,26387387182
1655,18,26387388837
1655,19,26387390492
1656,20,26387392148
1655,21,26387393803
1655,22,26387395458
1656,23,26387397114
3310,24,26387400424
1656,25,26387402080
1655,26,26387403735
1655,27,26387405390
1655,28,26387407045
1656,29,26387408701
1655,30,26387410356
1655,31,26387412011
1655,32,26387413666
1656,33,26387415322
1655,34,26387416977
1655,35,26387418632
1656,36,26387420288
1655,37,26387421943
1655,38,26387423598
1656,39,26387425254
1655,40,26387426909
1655,41,26387428564
1655,42,26387430219
1656,43,26387431875
1655,44,26387433530
1655,45,26387435185
1655,46,26387436840
1656,47,26387438496
1655,48,26387440151
1655,49,26387441806
1656,50,26387443462
1655,51,26387445117
1655,52,26387446772
1655,53,26387448427
1656,54,26387450083
1655,55,26387451738
1655,56,26387453393
1656,57,26387455049
3311,58,26387458360
1654,59,26387460014
1656,60,26387461670
1655,61,26387463325
1655,62,26387464980
1656,63,26387466636
1655,64,26387468291
1655,65,26387469946
1675,66,26387471621
1636,67,26387473257
1655,68,26387474912
1655,69,26387476567
1656,70,26387478223
1655,71,26387479878
1656,72,26387481534
1654,73,26387483188
1656,74,26387484844
1655,75,26387486499
1655,76,26387488154
1656,77,26387489810
1655,78,26387491465
1655,79,26387493120
1655,80,26387494775
1656,81,26387496431
1655,82,26387498086
3310,83,26387501396
1655,84,26387503051
1656,85,26387504707
1656,86,26387506363
1654,87,26387508017
1656,88,26387509673
1655,89,26387511328
1655,90,26387512983
1656,91,26387514639
1655,92,26387516294
1655,93,26387517949
1655,94,26387519604
1656,95,26387521260
1655,96,26387522915
1655,97,26387524570
1655,98,26387526225
1656,99,26387527881
1657,100,26387529538
1653,101,26387531191
1656,102,26387532847
1655,103,26387534502
1655,104,26387536157
1655,105,26387537812
1656,106,26387539468
1655,107,26387541123
1655,108,26387542778
1656,109,26387544434
1655,110,26387546089
1655,111,26387547744
1656,112,26387549400
1655,113,26387551055
1655,114,26387552710
1655,115,26387554365
1656,116,26387556021
